dataset,split_type,split_num,model,SP,metric
bbbp,spectra_tanimoto,0.70_0,LogReg,0.70,0.75
bbbp,spectra_tanimoto,0.70_0,RF,0.70,0.75
bbbp,spectra_tanimoto,0.70_0,XGB,0.70,0.75
bbbp,spectra_tanimoto,0.70_0,SVM,0.70,0
bbbp,spectra_tanimoto,0.70_1,LogReg,0.70,0.555555555555556
bbbp,spectra_tanimoto,0.70_1,RF,0.70,0.666666666666667
bbbp,spectra_tanimoto,0.70_1,XGB,0.70,0.333333333333333
bbbp,spectra_tanimoto,0.70_1,SVM,0.70,0.555555555555556
bbbp,spectra_tanimoto,0.70_2,LogReg,0.70,1
bbbp,spectra_tanimoto,0.70_2,RF,0.70,0.666666666666667
bbbp,spectra_tanimoto,0.70_2,XGB,0.70,1
bbbp,spectra_tanimoto,0.70_2,SVM,0.70,0.666666666666667
bbbp,spectra_tanimoto,0.75_0,LogReg,0.75,NA
bbbp,spectra_tanimoto,0.75_0,RF,0.75,NA
bbbp,spectra_tanimoto,0.75_0,XGB,0.75,NA
bbbp,spectra_tanimoto,0.75_0,SVM,0.75,NA
bbbp,spectra_tanimoto,0.75_1,LogReg,0.75,NA
bbbp,spectra_tanimoto,0.75_1,RF,0.75,NA
bbbp,spectra_tanimoto,0.75_1,XGB,0.75,NA
bbbp,spectra_tanimoto,0.75_1,SVM,0.75,NA
bbbp,spectra_tanimoto,0.75_2,LogReg,0.75,0.6
bbbp,spectra_tanimoto,0.75_2,RF,0.75,1
bbbp,spectra_tanimoto,0.75_2,XGB,0.75,1
bbbp,spectra_tanimoto,0.75_2,SVM,0.75,0.4
bbbp,random,1,LogReg,NA,0.865980629539952
bbbp,random,1,RF,NA,0.89510549982705
bbbp,random,1,XGB,NA,0.873867173988239
bbbp,random,1,SVM,NA,0.878951919750951
bbbp,random,2,LogReg,NA,0.871966839820679
bbbp,random,2,RF,NA,0.9019604354942
bbbp,random,2,XGB,NA,0.868782466377286
bbbp,random,2,SVM,NA,0.881288692805807
bbbp,random,3,LogReg,NA,0.925886356441912
bbbp,random,3,RF,NA,0.932949509338398
bbbp,random,3,XGB,NA,0.918605571383349
bbbp,random,3,SVM,NA,0.921810699588477
bbbp,random,4,LogReg,NA,0.902276759314016
bbbp,random,4,RF,NA,0.926504287403903
bbbp,random,4,XGB,NA,0.915102010644589
bbbp,random,4,SVM,NA,0.907118568894146
bbbp,random,5,LogReg,NA,0.930307311903921
bbbp,random,5,RF,NA,0.94325326739668
bbbp,random,5,XGB,NA,0.916672553867891
bbbp,random,5,SVM,NA,0.945072412575062
bbbp,scaffold,1,LogReg,NA,0.835011398176292
bbbp,scaffold,1,RF,NA,0.874738791793313
bbbp,scaffold,1,XGB,NA,0.833349164133739
bbbp,scaffold,1,SVM,NA,0.878561930091185
bbbp,scaffold,2,LogReg,NA,0.854194177199271
bbbp,scaffold,2,RF,NA,0.852590706156071
bbbp,scaffold,2,XGB,NA,0.862667421241275
bbbp,scaffold,2,SVM,NA,0.873718795195875
bbbp,scaffold,3,LogReg,NA,0.921109723226612
bbbp,scaffold,3,RF,NA,0.935112747353889
bbbp,scaffold,3,XGB,NA,0.919236079153244
bbbp,scaffold,3,SVM,NA,0.936476891723095
bbbp,scaffold,4,LogReg,NA,0.847628222163168
bbbp,scaffold,4,RF,NA,0.890363406856232
bbbp,scaffold,4,XGB,NA,0.867957746478873
bbbp,scaffold,4,SVM,NA,0.893303215519532
bbbp,scaffold,5,LogReg,NA,0.892904290429043
bbbp,scaffold,5,RF,NA,0.889347268060139
bbbp,scaffold,5,XGB,NA,0.832489915658233
